고유번호,언어,상호명,콘텐츠URL,주소,신주소,전화번호,웹사이트,운영시간,교통정보,홈페이지 언어,대표메뉴
6948,ko,산골막국수,https://korean.visitseoul.net/restaurants/산골면옥/KOP006945?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP006945,110-826 서울 종로구 숭인동 278 ,03114 서울 종로구 종로56길 5-7 ,02-749-6033,,11:30 ~ 21:00,"1, 6호선 동묘앞역 3번 출구   ",,"막국수, 만둣국, 만두, 감자전, 모둠전, 파전, 막국수무침, 막국수쟁반, 닭무침, 닭볶음탕"
11999,ko,올라,https://korean.visitseoul.net/restaurants/올라/KOP011999?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP011999,150-916 서울 영등포구 여의도동 17 ,"07236 서울 영등포구 의사당대로 38 (여의도동, 여의도더샵아일랜드파크) ",0507-1425-7220,http://www.ola.kr/main_idx.php,"평일  11:30~14:30, 17:30~22:00 / 주말 11:30~15:00, 17:00~22:00",9호선 국회의사당역 4번 출구,,"참치 타르타르, 닭가슴살과 수제 리코타 치즈"
11270,ko,켄싱턴 호텔 뉴욕뉴욕,https://korean.visitseoul.net/restaurants/렉싱턴-호텔-뉴욕뉴욕-K/KOP011268?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP011268,150-870 서울 영등포구 여의도동 13-3 1층,07238 서울 영등포구 국회대로76길 16 켄싱턴호텔 1층,02-6670-7270,https://www.kensington.co.kr/hyd/dining/detail?idx=29,11:30 ~ 21:00,9호선 국회의사당역1번출구 ,"한국어, 영어, 중국어, 일본어","러브 인 뉴욕(1인 기준) - 159,000원"
1095,ko,개미집,https://korean.visitseoul.net/restaurants/개미집/KOP001095?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP001095,135-888 서울 강남구 신사동 528-4 ,06028 서울 강남구 압구정로 110 (화인빌딩) ,02-541-5955,http://gaemizip.modoo.at/,16:30~24:00,3호선 신사역 8번 출구 ,,"매운갈낙찜, 모짜렐라김치전, 홍어삼합, 제철사시미"
4771,ko,명품잔치국수,https://korean.visitseoul.net/restaurants/명품잔치국수/KOP004771?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP004771,121-839 서울 마포구 서교동 479-8 ,04004 서울 마포구 동교로 103 ,0507-1399-2008,,월~토 10:00~22:00,6호선 망원역 1번 출구,,"잔치국수, 비빔국수, 왕만두, 유부국수"
6962,ko,강서면옥 ,https://korean.visitseoul.net/restaurants/강서면옥/KOP006962?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP006962,100-814 서울 중구 서소문동 120-15 ,04513 서울 중구 세종대로11길 35 ,02-752-1945,,"매일 11:00~15:00, 17:00~22:00",2호선 시청역 9번출구 중앙일보방향 외환은행 골목 50m    1호선 시청역 9번출구 중앙일보방향 외환은행 골목 50m ,,"평양물냉면, 함흥비빔냉면, 삼겹살"
7030,ko,플로리안,https://korean.visitseoul.net/restaurants/플로리안-KR/KOP007029?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP007029,138-169 서울특별시 송파구 가락본동 80성원상떼빌 102동 122호 ,05718 서울특별시 송파구 송파대로28길 27 (가락동) ,02-403-1248,,11:00~22:00,"8호선 가락시장역 3,4번 출구 3호선    ",,
6614,ko,나폴레옹과자점,https://korean.visitseoul.net/restaurants/나폴레옹/KOP006613?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP006613,  ,02880 서울 성북구 성북로 7 ,02-742-7421,napoleonbakery.co.kr,09:00~21:00,4호선 한성대입구역 5번 출구에서 44m,,베이커리
5563,ko,케익하우스윈 (윈제과점),https://korean.visitseoul.net/restaurants/케익하우스윈1/KOP005560?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP005560,135-950 서울 강남구 청담동 31-14 31-14,"06067 서울 강남구 삼성로 719 (청담동, 경덕빌딩) ",02-546-1585,,08:00 ~ 22:00,7호선 청담역 8번 출구  ,,베이커리
5504,ko,큰기와집,https://korean.visitseoul.net/restaurants/큰기와집/KOP005504?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP005504,110-200 서울 종로구 소격동 122-3 ,03053 서울 종로구 북촌로5길 62 (소격동) ,02-722-9024,https://keunkiwajip.modoo.at/,11:30 - 21:00  15:00 - 17:30 (브레이크타임),3호선 안국역 1번 출구,,"간장게장, 양념게장, 꽃게장 비빔밥, 인삼 갈비찜"
5226,ko,사루비아,https://korean.visitseoul.net/restaurants/사루비아/KOP005226?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP005226,135-889 서울 강남구 신사동 542-3 ,06036 서울 강남구 논현로153길 57 ,02-540-7344,https://www.instagram.com/sarubia_garosugil/,일~목 12:00 ~ 23:00 금~토 12:00 ~ 24:00,3호선 신사역 8번 출구,,"아보카도 푸타네스카 파스타, 쉬림프 블랙 오일 파스타, 사루비아 스테이크"
27461,ko,시루케이크,https://korean.visitseoul.net/restaurants/시루케이크/KOP027461?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP027461, 서울 마포구 합정동 355-8 ,"04073 서울 마포구 어울마당로1길 18 (합정동, 합정주택) ",070-4177-7700,https://www.instagram.com/siroocake/?igshid=aywpoidg5w2n,월~토 11:00~20:00,6호선 상수역 4번 출구,한국어,"설기케이크, 떡케이크, 크림대추라떼"
13599,ko,틈새라면,https://korean.visitseoul.net/restaurants/틈새라면/KOP013599?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP013599,100-809 서울특별시 중구 명동2가 4-1,04537 서울특별시 중구 명동10길 19-10 (명동2가) ,02-756-5477,http://www.teumsae.com,평일 10:00 ~ 20:00  주말 11:00 ~ 20:00,4호선 명동역 8번 출구  ,,"빨계떡, 계떡, 치즈빨계떡, 빨부대"
